,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
33,30,4,59951.0,12,7,3,0,0,0.0,0,40.0,3,0,2
34,22,1,311512.0,12,7,11,1,0,0.0,0,15.0,3,0,5
35,48,0,242406.0,11,6,12,0,0,0.0,0,40.0,3,0,4
36,21,0,197200.0,12,6,12,0,0,0.0,0,40.0,3,0,2
37,19,0,544091.0,6,1,3,0,1,0.0,0,25.0,3,0,0
38,31,0,84154.0,12,7,10,0,0,0.0,0,38.0,?,1,5
39,48,6,265477.0,9,7,1,0,0,0.0,0,40.0,3,0,5
40,31,0,507875.0,3,7,12,0,0,0.0,0,43.0,3,0,5
41,53,6,88506.0,13,7,1,0,0,0.0,0,40.0,3,0,5
42,24,0,172987.0,13,7,5,0,0,0.0,0,50.0,3,0,5
43,49,0,94638.0,6,3,3,0,1,0.0,0,40.0,3,0,4
44,25,0,289980.0,6,6,14,0,0,0.0,0,35.0,3,0,1
45,57,4,337895.0,13,7,1,1,0,0.0,0,40.0,3,1,5
46,53,0,144361.0,6,7,12,0,0,0.0,0,38.0,3,0,5
47,44,0,128354.0,10,4,13,0,1,0.0,0,40.0,3,0,4
48,41,1,101603.0,1,7,6,0,0,0.0,0,40.0,3,0,5
49,29,0,,1,6,1,0,0,0.0,0,43.0,3,0,1
50,25,0,32275.0,12,7,13,2,1,0.0,0,40.0,3,0,0
51,18,0,226956.0,6,6,11,0,1,0.0,0,30.0,?,0,2
52,47,0,51835.0,15,7,1,0,1,0.0,1902,60.0,3,1,0
53,50,4,251585.0,13,4,13,0,0,0.0,0,55.0,3,1,1
54,47,3,109832.0,6,4,13,0,0,0.0,0,60.0,3,0,1
55,43,0,237993.0,12,7,5,0,0,0.0,0,40.0,3,1,5
56,46,0,216666.0,16,7,12,0,0,0.0,0,40.0,3,0,5
57,35,0,56352.0,1,7,11,0,0,0.0,0,40.0,3,0,5
58,41,0,147372.0,6,7,3,0,0,0.0,0,48.0,3,0,5
59,30,0,188146.0,6,7,12,0,0,5013.0,0,40.0,3,0,5
60,30,0,59496.0,13,7,10,0,0,2407.0,0,40.0,3,0,5
61,32,?,293936.0,8,5,?,0,0,0.0,0,40.0,?,0,1
62,48,0,149640.0,6,7,4,0,0,0.0,0,40.0,3,0,5
63,42,0,116632.0,14,7,1,0,0,0.0,0,45.0,3,1,5
64,29,0,105598.0,12,4,5,0,0,0.0,0,58.0,3,0,1
65,36,0,155537.0,6,7,6,0,0,0.0,0,40.0,3,0,5
66,28,0,183175.0,12,4,3,0,1,0.0,0,40.0,3,0,1
67,53,0,169846.0,6,7,3,0,1,0.0,0,40.0,3,1,0
68,49,3,191681.0,12,7,13,0,0,0.0,0,50.0,3,1,5
69,25,?,200681.0,12,6,?,0,0,0.0,0,40.0,3,0,2
70,19,0,101509.0,12,6,1,0,0,0.0,0,32.0,3,0,2
71,31,0,309974.0,13,3,10,1,1,0.0,0,40.0,3,0,2
72,29,6,162298.0,13,7,10,0,0,0.0,0,70.0,3,1,5
73,23,0,211678.0,12,6,12,0,0,0.0,0,40.0,3,0,1
74,79,0,124744.0,12,7,1,0,0,0.0,0,20.0,3,0,3
75,27,0,213921.0,6,6,11,0,0,0.0,0,40.0,3,0,2
76,40,0,32214.0,9,7,3,0,0,0.0,0,40.0,3,0,5
77,67,?,212759.0,2,7,?,0,0,0.0,0,2.0,3,0,5
78,18,0,309634.0,11,6,11,0,1,0.0,0,22.0,3,0,2
79,31,5,125927.0,8,7,8,0,0,0.0,0,40.0,3,0,5
80,18,0,446839.0,6,6,10,0,0,0.0,0,30.0,3,0,1
81,52,0,276515.0,13,7,11,0,0,0.0,0,40.0,3,0,5
82,46,0,51618.0,6,7,11,0,1,0.0,0,40.0,3,0,0
83,59,0,159937.0,6,7,10,0,0,0.0,0,48.0,3,0,5
84,44,0,343591.0,6,4,6,0,1,14344.0,0,40.0,3,1,1
85,53,0,346253.0,6,4,10,0,1,0.0,0,35.0,3,0,2
86,49,5,268234.0,6,7,0,0,0,0.0,0,40.0,3,1,5
87,33,0,202051.0,10,7,1,0,0,0.0,0,50.0,3,0,5
88,30,0,54334.0,3,6,10,0,0,0.0,0,40.0,3,0,1
89,43,4,410867.0,14,6,1,0,1,0.0,0,50.0,3,1,1
90,57,0,249977.0,1,7,1,0,0,0.0,0,40.0,3,0,5
91,37,0,286730.0,12,4,6,0,1,0.0,0,40.0,3,0,4
92,28,0,212563.0,12,4,12,1,1,0.0,0,25.0,3,0,4
93,30,0,117747.0,6,7,10,3,1,0.0,1573,35.0,?,0,0
94,34,5,226296.0,13,7,0,0,0,0.0,0,40.0,3,1,5
95,29,5,115585.0,12,6,14,0,0,0.0,0,50.0,3,0,1
96,48,6,,14,7,1,0,0,0.0,1902,60.0,3,1,5
97,37,0,202683.0,12,7,10,0,0,0.0,0,48.0,3,1,5
98,48,0,171095.0,9,4,13,0,1,0.0,0,40.0,1,0,4
99,32,4,249409.0,6,6,11,1,0,0.0,0,40.0,3,0,2
100,76,0,124191.0,10,7,13,0,0,0.0,0,40.0,3,1,5
101,44,0,198282.0,13,7,13,0,0,15024.0,0,60.0,3,1,5
102,47,6,149116.0,10,6,1,0,1,0.0,0,50.0,3,0,1
103,20,0,188300.0,12,6,5,0,1,0.0,0,40.0,3,0,2
104,29,0,103432.0,6,6,6,0,0,0.0,0,40.0,3,0,1
105,32,3,317660.0,6,7,6,0,0,7688.0,0,40.0,3,1,5
106,17,?,304873.0,2,6,?,0,1,34095.0,0,32.0,3,0,2
107,30,0,194901.0,11,6,14,0,0,0.0,0,40.0,3,0,2
108,31,5,189265.0,6,6,3,0,1,0.0,0,40.0,3,0,1
109,42,0,124692.0,6,7,14,0,0,0.0,0,40.0,3,0,5
110,24,0,432376.0,13,6,10,0,0,0.0,0,40.0,3,0,3
111,38,0,65324.0,15,7,1,0,0,0.0,0,40.0,3,1,5
112,56,6,335605.0,6,7,11,0,0,0.0,1887,50.0,3,1,5
113,28,0,377869.0,12,7,10,0,1,4064.0,0,25.0,3,0,0
114,36,0,102864.0,6,6,12,0,1,0.0,0,40.0,3,0,2
115,53,0,95647.0,3,7,14,0,0,0.0,0,50.0,3,0,5
116,56,3,303090.0,12,7,10,0,0,0.0,0,50.0,3,0,5
117,49,5,197371.0,1,7,6,1,0,0.0,0,40.0,3,1,5
118,55,0,247552.0,12,7,10,0,0,0.0,0,56.0,3,0,5
119,22,0,102632.0,6,6,6,0,0,0.0,0,41.0,3,0,1
120,21,0,199915.0,12,6,11,0,1,0.0,0,40.0,3,0,2
121,40,0,118853.0,13,7,13,0,0,0.0,0,60.0,3,0,5
122,30,0,77143.0,13,6,13,1,0,0.0,0,40.0,1,0,2
123,29,1,267989.0,13,7,1,0,0,0.0,0,50.0,3,1,5
124,19,0,301606.0,12,6,11,1,0,0.0,0,35.0,3,0,2
125,47,0,287828.0,13,7,13,0,1,0.0,0,40.0,3,1,0
126,20,0,111697.0,12,6,3,0,1,0.0,1719,28.0,3,0,2
127,31,0,114937.0,9,7,3,0,0,0.0,0,40.0,3,1,5
128,35,?,129305.0,6,7,?,0,0,0.0,0,40.0,3,0,5
129,39,0,365739.0,12,4,6,0,0,0.0,0,40.0,3,0,1
130,28,0,69621.0,9,6,10,0,1,0.0,0,60.0,3,0,1
131,24,0,43323.0,6,6,11,0,1,0.0,1762,40.0,3,0,1
132,38,6,120985.0,6,7,6,0,0,4386.0,0,35.0,3,0,5
133,37,0,254202.0,13,7,10,0,0,0.0,0,50.0,3,0,5
134,46,0,146195.0,9,4,5,1,1,0.0,0,36.0,3,0,1
135,38,4,125933.0,10,7,1,0,0,0.0,0,40.0,2,1,5
136,43,6,56920.0,6,7,6,0,0,0.0,0,60.0,3,0,5
137,27,0,163127.0,1,7,3,0,1,0.0,0,35.0,3,0,0
138,20,0,34310.0,12,6,10,0,0,0.0,0,20.0,3,0,2
139,49,0,81973.0,12,7,6,3,0,0.0,0,40.0,3,1,5
140,61,3,66614.0,6,7,6,0,0,0.0,0,40.0,3,0,5
141,27,0,232782.0,12,6,10,0,1,0.0,0,40.0,3,0,2
142,19,0,316868.0,12,6,11,0,0,0.0,0,30.0,3,0,2
143,45,0,196584.0,1,6,1,0,1,0.0,1564,40.0,3,1,1
144,70,0,105376.0,12,6,5,0,0,0.0,0,40.0,3,0,3
145,31,0,185814.0,6,6,4,1,1,0.0,0,30.0,3,0,4
146,22,0,175374.0,12,7,11,0,0,0.0,0,24.0,3,0,5
147,36,0,108293.0,6,2,11,0,1,0.0,0,24.0,3,0,4
148,64,0,181232.0,11,7,6,0,0,0.0,2179,40.0,3,0,5
149,43,?,174662.0,12,4,?,0,1,0.0,0,40.0,3,0,1
150,47,5,186009.0,12,4,3,0,1,0.0,0,38.0,3,0,4
151,34,0,198183.0,6,6,3,0,1,0.0,0,40.0,3,0,1
152,33,0,163003.0,13,6,13,3,1,0.0,0,40.0,2,0,3
153,21,0,296158.0,6,6,6,0,0,0.0,0,35.0,3,0,2
154,52,?,252903.0,6,4,?,0,0,0.0,0,45.0,3,1,1
155,48,0,187715.0,6,7,6,0,0,0.0,0,46.0,3,0,5
156,23,0,214542.0,13,6,14,0,0,,0,40.0,3,0,1
157,71,6,494223.0,12,3,10,1,0,0.0,1816,2.0,3,0,4
158,29,0,191535.0,6,4,6,0,0,0.0,0,60.0,3,0,1
159,42,0,228456.0,13,3,11,1,0,0.0,0,50.0,3,0,3
160,68,?,38317.0,4,4,?,0,1,0.0,0,20.0,3,0,1
161,25,0,252752.0,6,6,11,0,1,0.0,0,40.0,3,0,4
162,44,3,78374.0,10,4,13,3,1,0.0,0,40.0,3,0,4
163,28,0,88419.0,6,6,13,3,1,0.0,0,40.0,1,0,1
164,45,6,201080.0,10,7,10,0,0,0.0,0,40.0,3,1,5
165,36,0,207157.0,12,4,11,0,1,0.0,0,40.0,3,0,4
166,39,4,235485.0,9,6,13,0,0,0.0,0,42.0,3,0,1
167,46,1,102628.0,10,2,0,0,0,0.0,0,40.0,3,0,4
168,18,0,25828.0,11,6,14,0,0,0.0,0,16.0,3,0,2
169,66,5,54826.0,1,2,1,0,1,0.0,0,20.0,3,0,1
170,27,0,124953.0,6,6,11,0,0,0.0,1980,40.0,3,0,1
171,28,1,175325.0,6,7,0,0,0,0.0,0,40.0,3,0,5
172,51,0,96062.0,12,7,10,0,0,0.0,1977,40.0,3,1,5
173,27,0,428030.0,13,6,6,0,0,0.0,0,50.0,3,0,1
174,28,1,149624.0,13,7,1,0,0,0.0,0,40.0,3,1,5
175,27,0,253814.0,6,5,10,0,1,0.0,0,25.0,3,0,4
176,21,0,312956.0,6,6,6,1,0,0.0,0,40.0,3,0,2
177,34,0,483777.0,6,6,14,1,0,0.0,0,40.0,3,0,1
178,18,0,183930.0,6,6,11,0,0,0.0,0,12.0,3,0,2
179,33,0,37274.0,13,7,1,0,0,0.0,0,65.0,3,0,5
180,44,5,181344.0,12,7,13,1,0,0.0,0,38.0,3,1,5
181,43,0,114580.0,12,4,3,0,1,0.0,0,40.0,3,0,1
182,30,0,633742.0,12,6,6,1,0,0.0,0,45.0,3,0,1
183,40,0,286370.0,8,7,12,0,0,0.0,0,40.0,3,1,5
184,37,4,29054.0,12,7,3,0,0,0.0,0,42.0,3,1,5
185,34,0,304030.0,6,7,3,1,0,0.0,0,40.0,3,0,5
186,41,6,143129.0,13,4,13,0,1,0.0,0,40.0,3,0,1
187,53,?,135105.0,13,4,?,0,1,0.0,0,50.0,3,0,1
188,31,0,99928.0,10,7,1,0,1,0.0,0,50.0,3,0,0
189,58,1,109567.0,14,7,1,0,0,0.0,0,1.0,3,1,5
190,38,0,155222.0,12,4,12,1,1,0.0,0,28.0,3,0,1
191,24,0,159567.0,12,7,12,0,0,0.0,0,40.0,3,0,5
192,41,5,523910.0,13,7,6,1,0,0.0,0,40.0,3,0,5
193,47,0,120939.0,12,7,5,0,0,0.0,0,45.0,3,0,5
194,41,4,130760.0,13,7,5,0,0,0.0,0,24.0,3,0,5
195,23,0,197387.0,16,7,4,0,0,0.0,0,40.0,3,0,3
196,36,0,99374.0,12,4,6,0,0,0.0,0,40.0,3,0,1
197,40,4,,10,6,13,0,1,14084.0,0,55.0,3,1,1
198,35,0,138992.0,10,7,1,0,0,7298.0,0,40.0,3,1,3
199,24,6,32921.0,6,6,10,0,0,0.0,0,40.0,3,0,1
200,26,0,397317.0,10,6,1,0,1,0.0,1876,40.0,3,0,1
201,19,?,170653.0,6,6,?,0,0,0.0,0,40.0,1,0,2
202,51,0,259323.0,13,7,13,0,0,0.0,0,50.0,3,1,5
203,42,5,254817.0,12,6,1,0,1,0.0,1340,40.0,3,0,1
204,37,1,48211.0,6,4,3,0,1,0.0,0,35.0,3,0,4
205,18,0,140164.0,11,6,10,0,1,0.0,0,40.0,3,0,2
206,36,0,128757.0,13,7,11,1,0,7298.0,0,36.0,3,1,5
207,35,0,36270.0,6,4,6,0,0,0.0,0,60.0,3,0,1
208,58,3,210563.0,6,7,10,0,1,15024.0,0,35.0,3,1,0
209,17,0,65368.0,11,6,10,0,1,0.0,0,12.0,3,0,2
210,44,5,160943.0,6,7,4,1,0,0.0,0,40.0,3,0,5
211,37,0,208358.0,6,7,6,0,0,0.0,0,40.0,3,1,5
212,35,0,153790.0,12,6,10,4,1,0.0,0,40.0,3,0,1
213,60,0,85815.0,6,7,6,3,0,0.0,0,40.0,3,0,5
214,54,3,125417.0,8,7,12,0,0,0.0,0,40.0,3,1,5
215,37,0,635913.0,13,6,13,1,0,0.0,0,60.0,3,1,1
216,50,0,313321.0,9,4,10,0,1,0.0,0,40.0,3,0,1
217,38,0,182609.0,13,7,10,0,0,0.0,0,50.0,1,0,5
218,45,0,109434.0,13,7,1,0,0,0.0,0,55.0,3,0,5
219,25,0,255004.0,2,6,6,0,0,0.0,0,40.0,3,0,1
220,31,0,197860.0,12,7,14,0,0,0.0,0,40.0,3,0,5
221,64,?,187656.0,4,4,?,0,0,0.0,0,40.0,3,0,1
222,90,0,51744.0,6,6,11,1,0,0.0,2206,40.0,3,0,1
223,54,0,176681.0,6,7,3,1,0,0.0,0,20.0,3,0,5
224,53,5,140359.0,7,6,12,0,1,0.0,0,35.0,3,0,1
225,18,0,243313.0,6,6,10,0,1,0.0,0,40.0,3,0,2
226,60,?,24215.0,2,4,?,4,1,0.0,0,10.0,3,0,1
227,66,6,167687.0,6,7,8,0,0,1409.0,0,50.0,3,0,5
228,75,0,314209.0,1,2,3,0,1,0.0,0,20.0,3,0,1
229,65,0,176796.0,6,4,3,0,1,0.0,0,40.0,3,0,1
230,35,0,538583.0,11,3,4,1,0,3674.0,0,40.0,3,0,1
231,41,0,130408.0,6,4,10,1,1,0.0,0,38.0,3,0,4
232,25,0,159732.0,12,6,3,0,0,0.0,0,42.0,3,0,1
233,33,0,110978.0,12,4,6,2,1,0.0,0,40.0,3,0,3
234,28,0,76714.0,15,6,1,0,0,0.0,0,55.0,3,1,1
235,59,1,268700.0,6,7,11,0,0,0.0,0,40.0,3,0,5
236,40,1,170525.0,12,6,3,0,1,0.0,0,38.0,3,0,1
237,41,0,180138.0,13,7,13,0,0,0.0,0,50.0,2,1,5
238,38,5,115076.0,10,7,13,0,0,0.0,0,70.0,3,1,5
239,23,0,115458.0,6,6,4,0,0,0.0,0,40.0,3,0,2
240,40,0,347890.0,13,7,1,0,0,0.0,0,40.0,3,1,5
241,41,6,196001.0,6,7,11,0,1,0.0,0,20.0,3,0,0
242,24,1,273905.0,9,7,0,0,0,0.0,0,50.0,3,0,5
243,20,?,119156.0,12,6,?,0,0,0.0,0,20.0,3,0,2
244,38,0,179488.0,12,4,6,0,0,0.0,1741,40.0,3,0,1
245,56,0,203580.0,6,7,3,0,0,0.0,0,35.0,?,0,5
246,58,0,236596.0,6,7,3,0,0,0.0,0,45.0,3,1,5
247,32,0,183916.0,6,6,11,0,1,0.0,0,34.0,3,0,1
248,40,0,207578.0,9,7,5,0,0,0.0,1977,60.0,3,1,5
249,45,0,153141.0,6,7,3,0,0,0.0,0,40.0,?,0,5
250,41,0,112763.0,15,7,1,0,1,0.0,0,40.0,3,1,0
251,42,0,390781.0,13,7,3,1,1,0.0,0,40.0,3,0,0
252,59,5,171328.0,2,2,11,1,1,0.0,0,30.0,3,0,4
253,19,5,27382.0,12,6,3,0,0,0.0,0,40.0,3,0,2
254,58,0,259014.0,12,6,4,0,0,0.0,0,20.0,3,0,1
255,42,6,303044.0,6,7,8,3,0,0.0,0,40.0,2,1,5
256,20,0,117789.0,6,6,11,0,1,0.0,0,40.0,3,0,2
257,32,0,172579.0,6,3,11,0,1,0.0,0,30.0,3,0,1
258,45,0,187666.0,1,2,13,0,1,0.0,0,45.0,3,0,1
259,50,0,204518.0,8,4,6,0,0,0.0,0,40.0,3,0,1
260,36,0,150042.0,13,4,1,0,1,0.0,0,40.0,3,0,2
261,45,0,98092.0,6,7,10,0,0,0.0,0,60.0,3,0,5
262,17,0,245918.0,11,6,11,0,0,0.0,0,12.0,3,0,2
263,59,0,146013.0,12,7,10,0,0,4064.0,0,40.0,3,0,5
264,26,0,378322.0,11,7,6,0,0,0.0,0,40.0,3,0,5
265,37,3,257295.0,12,7,13,3,0,0.0,0,75.0,2,1,5
266,19,?,218956.0,12,6,?,0,0,0.0,0,24.0,3,0,2
267,64,0,21174.0,6,7,13,0,0,0.0,0,40.0,3,1,5
268,33,0,185480.0,13,6,1,0,1,0.0,0,45.0,3,0,1
269,33,0,222205.0,6,7,6,0,1,0.0,0,40.0,3,1,0
270,61,0,69867.0,6,7,13,0,0,0.0,0,40.0,3,1,5
271,17,0,191260.0,3,6,11,0,0,1055.0,0,24.0,3,0,2
272,50,6,30653.0,10,7,8,0,0,2407.0,0,98.0,3,0,5
273,27,5,209109.0,10,6,1,0,0,0.0,0,35.0,3,0,2
274,30,0,70377.0,6,4,1,0,1,0.0,0,40.0,3,0,2
275,43,0,477983.0,6,7,14,1,0,0.0,0,40.0,3,0,5
276,44,0,170924.0,12,7,6,0,0,7298.0,0,40.0,3,1,5
277,35,0,190174.0,12,6,13,0,1,0.0,0,40.0,3,0,1
278,25,0,193787.0,12,6,5,0,1,0.0,0,40.0,3,0,2
279,24,0,279472.0,12,7,12,0,1,7298.0,0,48.0,3,1,0
280,22,0,34918.0,13,6,1,0,1,0.0,0,15.0,1,0,1
281,42,5,97688.0,12,7,6,0,0,5178.0,0,40.0,3,1,5
282,34,0,175413.0,9,4,10,1,1,0.0,0,45.0,3,0,4
283,60,0,173960.0,13,4,1,0,1,0.0,0,42.0,3,0,1
284,21,0,205759.0,6,6,14,0,0,0.0,0,40.0,3,0,2
285,57,4,425161.0,10,7,10,0,0,15024.0,0,40.0,3,1,5
286,41,0,220531.0,15,7,1,0,0,0.0,0,60.0,3,1,5
287,50,0,176609.0,12,4,11,0,0,0.0,0,45.0,3,0,1
288,25,0,371987.0,13,6,13,0,1,0.0,0,40.0,3,0,1
289,50,0,193884.0,8,7,6,0,0,0.0,0,40.0,3,0,5
290,36,0,200352.0,13,7,1,0,0,0.0,0,45.0,3,0,5
291,31,0,127595.0,6,4,1,0,1,0.0,0,40.0,3,0,1
292,29,5,220419.0,13,6,0,0,0,0.0,0,56.0,3,0,1
293,21,0,231931.0,12,6,10,0,0,0.0,0,45.0,3,0,2
294,27,0,248402.0,13,6,5,1,1,0.0,0,40.0,3,0,4
295,65,0,111095.0,6,7,4,0,0,0.0,0,16.0,3,0,5
296,37,3,57424.0,13,4,10,0,1,0.0,0,60.0,3,0,1
297,39,?,157443.0,10,7,?,3,1,3464.0,0,40.0,?,0,0
298,24,0,278130.0,6,6,6,0,0,0.0,0,40.0,3,0,2
299,38,0,169469.0,6,4,10,0,0,0.0,0,80.0,3,0,1
300,48,0,146268.0,13,7,3,0,0,7688.0,0,40.0,3,1,5
301,21,0,153718.0,12,6,11,3,1,0.0,0,25.0,3,0,1
302,31,0,217460.0,6,7,4,0,0,0.0,0,45.0,3,1,5
303,55,0,238638.0,6,7,10,0,0,4386.0,0,40.0,3,1,5
304,24,0,303296.0,12,7,3,3,1,0.0,0,40.0,2,0,0
305,43,0,173321.0,6,4,3,0,1,0.0,0,40.0,3,0,1
306,26,0,193945.0,9,6,5,0,0,0.0,0,45.0,3,0,1
307,46,0,83082.0,9,6,1,0,1,0.0,0,33.0,3,0,1
308,35,0,193815.0,9,7,3,0,0,0.0,0,40.0,3,1,5
309,41,3,34987.0,12,7,8,0,0,0.0,0,54.0,3,1,5
310,26,0,59306.0,13,6,10,0,0,0.0,0,40.0,3,0,1
311,34,0,142897.0,10,7,13,3,0,7298.0,0,35.0,2,1,5
312,19,?,860348.0,12,6,?,1,1,0.0,0,25.0,3,0,2
313,36,6,205607.0,13,4,1,1,1,0.0,0,40.0,3,1,1
314,22,0,199698.0,12,6,10,0,0,0.0,0,15.0,3,0,2
315,24,0,191954.0,12,6,12,0,0,0.0,0,40.0,3,0,1
316,77,6,138714.0,12,7,10,0,0,0.0,0,40.0,3,0,5
317,22,0,399087.0,16,7,12,0,1,0.0,0,40.0,3,0,3
318,29,0,423158.0,12,6,5,0,1,0.0,0,40.0,3,0,1
319,62,0,159841.0,6,2,11,0,1,0.0,0,24.0,3,0,1
320,39,6,174308.0,6,7,13,0,0,0.0,0,40.0,3,0,5
321,43,0,50356.0,12,7,6,0,0,0.0,1485,50.0,3,0,5
322,35,0,186110.0,6,4,4,0,0,0.0,0,45.0,3,0,1
323,29,0,200381.0,11,6,13,0,1,0.0,0,40.0,3,0,1
324,76,6,174309.0,10,7,6,0,0,0.0,0,10.0,3,0,5
325,63,6,78383.0,6,7,8,0,0,0.0,0,45.0,3,0,5
326,23,?,211601.0,1,6,?,1,1,0.0,0,15.0,3,0,2
327,43,0,187728.0,12,7,1,0,1,0.0,1887,50.0,3,1,0
328,58,6,321171.0,6,7,14,0,0,0.0,0,40.0,3,0,5
329,66,0,127921.0,6,6,4,0,0,2050.0,0,55.0,3,0,1
330,41,0,206565.0,12,6,6,1,0,0.0,0,45.0,3,0,1
331,26,0,224563.0,13,6,3,0,0,0.0,0,40.0,3,0,1
332,47,0,178686.0,1,6,11,0,0,0.0,0,40.0,3,0,1
333,55,5,98545.0,2,7,3,0,0,0.0,0,40.0,3,0,5
334,53,0,242606.0,6,7,4,0,0,0.0,0,40.0,3,0,5
335,17,0,270942.0,16,6,11,0,0,0.0,0,48.0,3,0,3
336,30,0,94235.0,6,6,6,0,0,0.0,0,40.0,3,0,3
337,49,0,71195.0,10,6,1,0,0,0.0,0,60.0,3,0,1
338,19,0,104112.0,6,6,10,1,0,0.0,0,30.0,3,0,4
339,45,0,261192.0,6,7,11,1,0,0.0,0,40.0,3,0,5
340,26,0,94936.0,9,6,10,0,0,0.0,0,40.0,3,0,1
341,38,0,296478.0,1,7,6,0,0,7298.0,0,40.0,3,1,5
342,36,1,119272.0,6,7,0,0,0,7298.0,0,40.0,3,1,5
343,33,0,85043.0,6,6,8,0,0,0.0,0,20.0,3,0,1
344,22,1,293364.0,12,6,0,1,1,0.0,0,40.0,3,0,2
345,43,6,241895.0,13,6,10,0,0,0.0,0,42.0,3,0,1
346,67,?,36135.0,11,7,?,0,0,0.0,0,8.0,3,0,5
347,30,?,151989.0,1,4,?,0,1,0.0,0,40.0,3,0,4
348,56,0,101128.0,9,5,11,0,0,0.0,0,25.0,2,0,1
349,31,0,156464.0,13,6,1,0,0,0.0,0,25.0,3,0,2
350,33,0,117963.0,13,7,13,0,0,0.0,0,40.0,3,1,5
351,26,0,192262.0,6,7,11,0,0,0.0,0,40.0,3,0,5
352,33,0,111363.0,13,7,13,0,0,0.0,0,40.0,3,1,5
353,46,5,329752.0,11,7,4,0,0,0.0,0,30.0,3,0,5
354,59,?,372020.0,13,7,?,0,0,0.0,0,40.0,3,1,5
355,38,4,95432.0,6,7,3,0,0,0.0,0,40.0,3,1,5
356,65,0,161400.0,11,2,11,2,0,0.0,0,40.0,3,0,4
357,40,0,96129.0,1,7,5,0,0,0.0,0,40.0,3,1,5
358,42,0,111949.0,6,7,3,0,1,0.0,0,35.0,3,0,0
359,26,6,117125.0,3,7,6,0,0,0.0,0,40.0,1,0,5
360,36,0,,2,7,11,0,1,0.0,0,24.0,3,0,0
361,62,0,270092.0,10,7,1,0,0,0.0,0,40.0,3,1,5
362,43,0,180609.0,13,7,4,0,0,0.0,0,45.0,3,0,5
363,43,0,174575.0,13,4,13,0,0,0.0,1564,45.0,3,1,1
364,22,0,410439.0,6,5,10,0,0,0.0,0,55.0,3,0,1
365,28,0,92262.0,6,7,6,0,0,0.0,0,40.0,3,0,5
366,56,6,183081.0,12,7,10,0,0,0.0,0,45.0,3,0,5
367,22,0,362589.0,9,6,10,0,1,0.0,0,15.0,3,0,1
368,57,0,212448.0,13,4,13,0,1,0.0,0,45.0,3,1,1
369,39,0,481060.0,6,4,10,0,1,0.0,0,40.0,3,0,4
370,26,4,185885.0,12,6,3,0,1,0.0,0,15.0,3,0,4
371,17,0,89821.0,11,6,11,0,0,0.0,0,10.0,3,0,2
372,40,1,184018.0,1,7,12,0,0,0.0,0,38.0,3,1,5
373,45,0,256649.0,6,7,12,1,0,0.0,0,40.0,3,0,5
374,44,0,160323.0,6,6,6,1,0,0.0,0,40.0,3,0,1
