,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13
22871,40,5,101795,6,6,0,0,0,0,0,42,3,0
22872,35,0,272019,11,7,6,0,0,0,2057,40,3,0
22873,32,0,198068,11,6,4,0,0,0,0,40,3,0
22874,49,6,199326,12,7,10,0,0,0,0,50,3,0
22875,31,0,178841,6,6,3,0,1,0,0,40,3,0
22876,58,0,136951,13,7,3,3,0,0,0,40,2,0
22877,26,3,109240,13,6,13,0,0,0,0,50,3,0
22878,35,6,128876,8,7,8,0,0,0,0,40,3,0
22879,25,0,103358,12,6,12,0,0,0,0,40,2,0
22880,43,0,354408,5,7,3,1,0,0,0,40,3,0
22881,32,0,206051,12,6,3,0,0,0,0,35,3,0
22882,45,0,155659,13,7,1,0,0,0,0,60,3,1
22883,48,0,143299,6,6,12,1,0,0,0,40,3,0
22884,31,0,252210,16,6,11,0,0,0,0,40,3,0
22885,20,0,129240,12,6,13,0,1,0,0,25,3,0
22886,28,0,398918,6,6,5,0,0,0,0,40,3,0
22887,50,6,240612,13,4,1,0,1,0,0,60,3,0
22888,22,0,429346,6,6,3,1,0,0,0,40,3,0
22889,19,0,123718,12,6,10,0,1,0,0,20,3,0
22890,38,0,455379,13,7,13,0,0,0,0,63,3,1
22891,23,0,376416,6,6,4,0,0,0,0,40,3,0
22892,24,3,234663,13,6,13,0,0,0,0,40,3,0
22893,26,0,282142,1,7,13,0,1,0,0,40,3,0
22894,45,1,208049,6,4,5,0,1,0,0,40,3,0
22895,88,0,68539,12,4,3,0,1,0,0,40,3,0
22896,19,0,126501,11,6,3,4,1,0,0,15,2,0
22897,24,0,186452,6,6,13,0,0,0,0,50,3,0
22898,84,0,127184,16,7,13,0,0,0,0,20,3,0
22899,48,0,165267,2,7,8,1,0,0,0,40,3,0
22900,46,0,124733,12,7,6,3,0,0,0,40,2,0
22901,31,3,149726,6,7,6,0,0,0,0,50,3,0
22902,58,0,41374,6,2,3,4,0,0,0,40,3,0
22903,35,5,329759,6,7,6,0,0,0,0,40,3,0
22904,36,0,212433,6,6,6,1,0,0,0,40,3,0
22905,36,0,185099,15,7,1,0,0,0,0,55,3,1
22906,47,5,126754,10,7,1,0,0,0,0,40,3,1
22907,57,0,122497,3,2,11,1,0,0,0,52,3,0
22908,30,0,118056,12,5,13,0,1,0,0,45,3,0
22909,30,5,200892,10,7,1,0,0,0,0,40,3,0
22910,19,0,200790,5,7,13,0,1,15024,0,40,3,1
22911,30,3,84119,13,6,13,0,0,0,0,43,3,0
22912,23,5,197918,12,6,0,0,0,0,0,40,3,1
22913,41,6,150533,15,7,1,0,0,0,0,50,3,1
22914,52,0,443742,12,4,13,0,0,0,0,60,3,0
22915,27,0,104423,9,6,3,0,0,0,0,40,3,0
22916,59,0,169133,6,7,6,0,0,0,0,45,3,0
22917,21,0,185551,6,6,10,0,1,0,0,36,3,0
22918,60,0,174486,6,2,12,0,1,0,0,40,3,0
22919,69,1,50468,15,7,3,0,0,0,0,34,3,1
22920,24,0,196943,6,6,10,0,0,0,0,40,3,0
22921,19,0,120691,6,6,10,1,0,0,0,25,3,0
22922,60,1,198815,9,7,1,0,0,0,0,20,3,0
22923,64,0,22186,12,2,5,0,1,0,0,35,3,0
22924,39,3,188069,1,7,13,0,0,0,0,60,3,1
22925,51,0,233149,9,7,13,0,0,0,0,45,3,1
22926,51,0,138358,2,4,6,1,1,0,0,35,3,0
22927,25,0,338013,12,4,5,0,1,0,0,40,3,0
22928,17,0,332666,2,6,13,0,1,0,0,4,3,0
22929,37,0,166339,12,4,5,0,1,0,0,40,3,0
22930,74,6,392886,6,2,8,0,1,0,0,14,3,0
22931,26,1,141838,13,7,13,1,0,0,0,40,3,1
22932,23,0,520759,6,6,11,1,0,0,0,30,3,0
22933,57,3,37345,15,7,1,0,0,0,0,36,3,1
22934,20,0,387779,11,6,4,0,0,0,0,15,3,0
22935,37,0,201531,6,7,8,0,0,0,0,40,3,0
22936,46,0,123598,13,7,10,0,0,0,0,40,3,0
22937,39,0,380614,12,4,1,0,1,0,0,45,3,1
22938,40,0,83859,6,2,12,0,1,0,0,30,3,0
22939,50,1,24790,6,7,14,0,0,0,0,40,3,0
22940,25,0,266820,7,6,8,0,0,0,0,35,3,0
22941,44,0,85440,6,7,3,0,0,0,0,45,3,0
22942,41,0,421837,6,7,4,0,0,0,0,40,3,0
22943,30,6,404062,6,7,1,0,0,0,1977,15,3,1
22944,38,0,224566,1,7,14,0,0,0,0,50,3,0
22945,54,0,294991,2,7,14,0,0,0,0,40,3,0
22946,40,4,189610,6,4,3,1,1,0,0,52,3,0
22947,37,0,219141,11,7,14,1,0,7688,0,40,3,1
22948,46,4,20956,13,7,13,0,0,15024,0,40,3,1
22949,38,0,70995,6,4,1,0,0,0,0,45,3,0
22950,20,0,215232,12,6,13,0,1,0,0,10,3,0
22951,71,0,178295,9,7,13,0,0,0,0,3,3,0
22952,35,0,56201,12,7,8,0,0,0,0,40,3,0
22953,62,0,98076,13,7,13,0,0,0,0,40,3,1
22954,34,0,351810,13,6,1,0,1,0,0,45,3,0
22955,56,6,144351,6,7,4,0,0,0,0,90,3,0
22956,30,1,137613,10,7,1,3,0,0,0,20,2,0
22957,17,0,54257,11,6,3,0,1,0,0,20,3,0
22958,18,6,230373,11,6,11,0,1,594,0,4,3,0
22959,35,0,98389,11,7,8,0,0,0,0,40,3,0
22960,21,0,184135,6,6,12,1,0,0,0,1,3,0
22961,46,6,140121,6,4,6,0,0,0,0,50,3,0
22962,33,6,24504,12,7,6,0,0,0,0,60,3,0
22963,27,0,129528,12,6,10,0,1,0,0,40,3,0
22964,36,0,415578,12,7,6,0,0,0,0,40,3,1
22965,42,0,97142,8,7,4,0,0,0,0,40,3,0
22966,35,0,201328,6,7,4,0,0,0,0,50,3,0
22967,25,0,256620,13,3,13,0,0,0,0,40,3,0
22968,47,4,96854,13,7,1,0,0,0,0,40,3,1
22969,44,1,141858,15,7,1,0,0,15024,0,75,3,1
22970,51,4,20795,6,7,4,0,0,7688,0,40,3,1
22971,53,0,95519,6,7,1,0,0,0,0,42,3,1
22972,47,0,112791,6,7,0,0,0,0,0,40,3,0
22973,20,0,291407,11,6,14,1,0,0,0,40,3,0
22974,32,0,239659,12,3,12,1,1,0,0,70,3,0
22975,28,0,183151,6,7,6,0,0,0,0,50,3,0
22976,58,0,97634,16,7,13,0,0,0,0,40,3,0
22977,52,0,143807,6,4,10,0,1,0,0,40,3,0
22978,35,0,186934,10,3,1,0,0,0,0,40,3,1
22979,30,0,170065,12,7,6,0,0,0,0,40,3,0
22980,33,0,108328,12,6,3,0,1,6849,0,50,3,0
22981,56,1,83696,13,3,1,0,1,0,0,38,3,0
22982,21,0,204596,12,6,11,0,1,0,0,20,3,0
22983,56,0,32604,12,6,13,1,1,0,0,40,3,0
22984,56,0,193453,13,7,1,0,0,0,1902,65,3,1
22985,45,0,148995,13,7,6,0,0,15024,0,40,3,1
22986,20,0,85041,12,6,13,0,1,0,0,20,3,0
22987,62,5,140851,6,7,11,0,0,0,0,40,3,1
22988,24,0,196280,13,6,10,0,1,0,0,30,3,0
22989,52,4,38973,13,3,3,1,1,0,0,40,3,0
22990,23,0,39182,6,7,10,0,0,0,0,40,3,0
22991,36,0,198841,10,7,13,0,0,0,0,40,3,1
22992,40,0,694812,12,6,6,0,0,0,0,40,3,0
22993,30,0,247444,12,7,12,0,0,0,0,40,3,0
22994,41,0,294270,3,7,4,0,0,0,0,35,3,0
22995,59,0,195820,6,7,4,0,0,0,0,40,3,1
22996,27,0,329426,10,6,13,0,0,0,0,37,3,0
22997,19,0,174871,12,6,13,0,0,0,0,23,3,0
22998,41,0,116103,12,6,13,0,0,0,0,50,3,0
22999,27,0,206903,13,6,14,0,0,0,0,35,3,0
23000,50,0,217577,6,2,12,0,1,0,0,40,3,0
23001,29,0,337693,16,6,11,0,1,0,0,40,3,0
23002,38,0,204501,13,7,13,0,0,0,0,55,3,1
23003,30,0,169186,6,6,12,0,0,0,0,60,3,0
23004,48,0,109421,13,7,1,0,0,0,0,55,3,0
23005,39,5,267893,9,7,6,1,0,7298,0,40,3,1
23006,40,0,200479,1,7,1,0,0,0,0,40,3,0
23007,27,5,221317,11,7,6,0,0,0,0,40,3,0
23008,59,6,132925,10,7,6,0,0,0,0,40,3,1
23009,31,0,283531,6,4,13,1,1,0,0,20,3,0
23010,34,0,170769,6,7,3,0,0,0,0,50,3,1
23011,47,3,186410,15,6,11,0,0,0,0,60,3,1
23012,64,3,307786,4,7,10,0,0,0,0,20,3,0
23013,29,0,380560,3,7,12,0,0,0,0,40,3,0
23014,38,5,147258,6,6,4,0,0,0,0,40,3,0
23015,42,0,212894,13,7,10,0,0,0,1887,40,3,1
23016,49,0,124356,13,7,10,0,0,0,0,60,3,1
23017,53,0,98791,12,7,5,0,0,0,0,40,3,0
23018,35,0,216473,12,7,3,0,0,0,0,50,3,1
23019,70,0,135339,13,7,13,3,0,0,0,40,2,0
23020,38,0,107303,6,7,6,0,0,0,0,40,3,0
23021,36,0,152744,13,4,10,3,1,0,0,40,2,0
23022,34,6,100079,13,7,10,3,0,0,0,55,2,0
23023,24,0,117779,13,6,1,0,0,0,0,10,1,0
23024,23,0,197613,12,6,3,0,1,0,0,40,3,0
23025,21,0,411068,12,6,3,0,1,0,0,35,3,0
23026,47,0,192984,12,2,3,0,1,0,0,40,3,0
23027,59,0,66356,8,6,8,0,0,4865,0,40,3,0
23028,33,4,137184,9,4,13,0,0,0,0,50,3,1
23029,63,6,231105,12,7,12,0,0,0,0,35,3,1
23030,18,5,146586,6,6,11,0,0,0,0,60,3,0
23031,32,0,32406,13,6,1,0,1,0,0,50,3,0
23032,33,0,578701,13,7,13,1,0,0,0,40,3,0
23033,19,0,206777,6,6,14,0,0,0,0,40,3,0
23034,27,5,133495,6,6,1,0,0,0,0,40,3,0
23035,40,0,34722,12,4,4,0,0,0,0,48,3,1
23036,38,6,133299,9,7,4,0,0,0,0,40,3,0
23037,20,0,24967,6,6,8,0,0,0,0,47,3,0
23038,35,6,171968,6,3,4,0,0,0,0,70,3,0
23039,22,0,412156,12,6,3,0,1,0,0,40,3,0
23040,40,0,51290,10,7,1,0,0,0,0,50,3,1
23041,34,0,198265,12,7,5,0,0,3103,0,40,3,1
23042,23,0,293565,2,6,14,0,0,0,0,40,3,0
23043,26,0,226288,13,6,3,0,0,0,0,40,3,0
23044,53,3,110445,12,7,8,0,0,0,0,60,3,0
23045,34,0,160634,12,7,6,0,0,0,0,40,3,1
23046,39,0,174242,6,7,6,0,0,0,0,40,3,0
23047,25,0,390316,3,7,6,0,0,0,0,40,3,0
23048,18,0,298860,11,6,10,0,0,0,0,20,3,0
23049,65,0,171584,13,6,13,0,0,0,0,40,3,0
23050,49,6,232664,13,6,13,0,1,0,0,40,3,0
23051,64,0,63676,2,7,11,1,0,0,0,40,3,0
23052,68,0,170376,13,7,13,0,0,0,0,40,3,1
23053,56,6,175964,12,4,11,0,1,0,0,40,3,0
23054,68,4,422013,6,4,1,0,1,0,3683,40,3,0
23055,35,0,105813,13,7,1,0,0,0,0,48,3,1
23056,50,4,306707,6,6,3,1,1,0,0,12,3,0
23057,45,0,177543,6,4,3,0,1,0,0,28,3,0
23058,43,0,320277,13,7,13,0,0,0,0,40,3,0
23059,39,0,129495,12,3,3,1,1,0,0,40,3,0
23060,37,0,257042,6,4,6,0,0,1506,0,40,3,0
23061,45,0,275995,13,7,5,0,0,0,0,50,3,1
23062,20,0,86318,12,6,13,0,1,0,0,10,3,0
23063,36,0,280440,9,6,5,0,1,0,0,45,3,0
23064,26,0,371556,12,6,3,0,1,0,0,40,3,0
23065,36,0,408229,13,6,1,0,1,0,0,32,3,0
23066,47,0,149337,13,6,3,0,0,0,0,60,3,0
23067,34,0,209297,6,6,12,1,0,0,2001,40,3,0
23068,53,0,355802,12,2,10,0,1,0,0,30,3,0
23069,32,0,165949,13,4,12,0,1,0,1590,42,3,0
23070,44,6,112507,16,7,6,0,0,0,0,40,3,0
23071,25,0,462869,6,6,14,0,0,0,0,40,3,0
23072,35,0,413648,16,6,8,0,0,0,0,36,3,0
23073,34,0,29235,9,4,1,0,1,0,0,40,3,0
23074,42,0,149823,12,7,6,0,0,0,0,40,3,0
23075,47,0,39530,6,4,11,0,1,0,0,4,3,0
23076,23,0,197387,6,6,6,0,0,0,0,37,3,0
23077,56,5,255406,6,4,13,0,1,0,0,40,3,0
23078,50,0,43764,14,7,1,0,0,15024,0,50,3,1
23079,38,0,168322,6,7,4,0,0,0,0,60,3,0
23080,46,0,278322,1,7,13,0,0,0,0,40,3,1
23081,47,0,115813,9,3,3,0,1,0,0,57,3,0
23082,38,6,184456,6,7,11,0,0,3464,0,80,1,0
23083,42,0,289636,6,7,4,0,0,0,0,46,3,0
23084,48,0,101684,6,7,10,0,0,0,0,40,3,0
23085,27,0,133425,6,6,13,0,1,0,0,50,3,0
23086,40,0,349405,1,7,1,0,1,0,0,36,3,0
23087,53,0,124076,14,7,1,0,1,99999,0,37,3,1
23088,75,6,165968,1,2,13,0,1,0,0,30,3,0
23089,39,0,185099,13,7,1,0,0,0,0,48,3,1
23090,46,4,268281,9,4,3,0,1,0,0,40,3,0
23091,51,0,154949,6,2,12,1,1,0,0,40,3,0
23092,34,0,176711,6,4,11,0,0,0,0,40,3,0
23093,23,0,165064,12,7,10,0,0,0,0,40,3,0
23094,32,0,213750,1,6,11,0,0,0,0,45,3,0
23095,45,6,77132,12,6,10,0,0,0,0,55,3,0
23096,21,0,109667,12,6,11,0,0,0,0,40,3,0
23097,36,0,162164,6,7,6,0,0,0,0,44,3,0
23098,40,0,219591,2,7,6,0,0,0,0,50,3,0
23099,20,0,327462,2,4,13,0,1,0,0,40,3,0
23100,68,0,236943,3,4,8,1,0,0,0,20,3,0
23101,40,0,89226,13,7,10,0,0,0,0,40,3,1
23102,20,0,124751,12,6,3,0,1,0,0,24,3,0
23103,48,5,144122,10,4,1,0,1,0,0,40,3,1
23104,27,0,98769,13,6,10,0,0,0,0,45,3,0
23105,57,4,170066,1,6,5,0,0,0,0,40,3,0
23106,54,3,162439,6,7,13,0,0,0,0,98,3,1
23107,47,0,22900,6,4,11,0,1,0,0,40,3,0
23108,30,5,102130,12,7,6,0,0,0,0,40,3,0
23109,17,0,215743,11,6,13,0,0,0,0,40,3,0
23110,35,0,381583,12,7,6,2,0,0,0,45,3,1
23111,56,5,198277,5,6,14,0,0,0,0,40,3,0
23112,20,0,243178,6,6,14,0,0,0,0,28,3,0
23113,38,5,177305,13,7,1,0,0,0,0,38,3,0
23114,19,0,167149,12,6,10,0,1,0,0,25,3,0
23115,24,0,270872,6,6,6,0,0,594,0,40,3,0
23116,31,0,382368,12,6,3,0,0,0,0,40,1,0
23117,44,5,277144,13,6,1,0,0,0,0,60,3,0
23118,21,1,145651,12,6,10,1,1,0,1602,12,3,0
23119,41,0,171351,12,7,6,0,0,0,0,40,3,0
23120,18,0,265099,11,6,11,0,1,0,0,16,3,0
23121,23,0,105617,3,6,4,0,0,0,0,40,3,0
23122,37,5,217689,12,7,11,4,0,0,0,32,3,0
23123,46,0,81136,1,4,13,0,0,0,0,30,3,0
23124,43,6,73883,13,4,10,0,0,0,0,45,3,0
23125,31,0,339482,4,7,12,0,0,0,0,40,3,0
23126,40,0,326232,12,4,4,0,0,0,0,40,3,1
23127,27,0,106316,15,4,1,0,1,0,0,12,3,0
23128,64,5,198728,12,6,4,0,0,0,0,40,3,0
23129,31,4,126501,1,6,1,0,0,0,0,40,3,0
23130,48,0,233802,10,7,13,1,0,0,0,45,3,0
23131,37,6,204501,13,7,10,0,0,0,0,20,3,1
23132,28,0,208249,12,4,5,0,0,0,0,24,3,0
23133,42,0,188693,12,7,6,0,0,0,0,40,3,0
23134,60,3,93272,8,7,10,0,0,0,0,60,3,0
23135,17,0,159299,11,6,11,0,1,0,0,20,3,0
23136,21,0,303588,12,6,13,0,1,0,0,30,3,0
23137,46,0,35136,2,4,3,1,0,0,0,40,3,0
23138,18,0,139576,6,6,3,0,1,0,0,40,3,0
23139,22,0,252355,6,6,11,0,0,0,0,27,3,0
23140,44,6,83812,13,4,13,0,0,0,0,60,3,0
23141,36,0,89718,6,7,10,0,0,0,0,40,3,0
23142,65,0,222810,1,4,13,0,1,0,0,40,3,0
23143,26,0,456618,6,6,11,0,0,0,0,40,3,0
23144,21,0,296158,2,7,11,0,0,0,0,25,3,0
23145,41,0,162140,6,4,6,0,0,0,2339,40,3,0
23146,28,0,36601,12,6,11,0,1,0,0,35,3,0
23147,27,0,195337,12,6,12,0,1,0,0,40,3,0
23148,19,1,282721,12,6,11,1,0,0,0,12,3,0
23149,40,0,206049,12,7,4,0,0,0,0,40,3,0
23150,19,0,223392,6,6,14,0,0,0,0,15,3,0
23151,40,0,27821,1,7,4,0,0,2829,0,40,3,0
23152,37,0,131827,6,6,6,0,0,0,0,40,3,0
23153,33,0,549413,12,7,3,1,0,0,0,40,3,1
23154,34,0,69491,6,7,11,0,0,0,0,40,3,0
23155,44,5,193755,9,6,0,0,0,0,0,40,3,0
23156,33,0,598802,12,4,3,1,1,0,0,40,3,0
23157,72,5,259762,6,7,13,0,0,2290,0,10,3,0
23158,19,0,266255,6,6,10,0,1,0,0,40,3,0
23159,59,0,32954,1,4,1,0,1,0,0,36,3,0
23160,40,0,291808,6,4,0,1,1,0,0,40,3,0
23161,35,0,190728,6,4,1,0,1,0,0,40,3,0
23162,22,0,59184,9,6,3,0,0,0,0,45,3,0
23163,41,0,196456,10,6,1,0,1,0,0,40,3,0
23164,59,0,147989,12,7,5,0,0,0,0,50,3,1
23165,50,0,195784,5,4,14,0,0,0,0,40,3,0
23166,21,0,202214,9,6,3,0,1,0,0,10,3,0
23167,40,3,225165,6,7,13,0,0,0,0,40,3,0
23168,22,0,54825,6,6,10,0,0,0,0,40,3,0
23169,43,0,188905,16,3,12,0,1,0,0,40,3,0
23170,17,0,132636,11,6,4,0,1,0,0,16,3,0
23171,42,5,228320,8,4,11,0,0,0,0,40,3,0
23172,37,0,415500,12,7,12,1,0,0,0,40,3,1
23173,19,0,254247,5,6,3,0,0,0,0,38,3,0
23174,43,0,255635,16,7,12,2,0,0,0,40,3,0
23175,46,0,96080,3,3,6,0,1,0,0,40,3,0
23176,18,0,78181,6,6,13,0,1,0,0,20,3,0
23177,50,5,339547,15,7,3,3,0,0,0,40,2,1
23178,47,6,126500,8,7,10,0,0,0,0,40,3,0
23179,31,0,511289,6,6,8,0,0,2907,0,99,3,0
23180,33,0,159574,8,7,3,0,0,0,0,45,3,0
23181,27,0,224105,6,7,12,0,0,7298,0,40,3,1
23182,59,6,128105,6,7,8,0,0,0,0,35,3,0
23183,39,5,89508,6,7,6,0,0,0,0,40,3,1
23184,29,0,370242,12,7,6,0,0,0,0,40,3,0
23185,26,0,67257,13,2,13,0,1,0,0,55,3,0
23186,24,0,62952,6,6,6,0,0,0,0,40,3,0
23187,25,0,111058,12,6,3,0,0,0,1980,40,3,0
23188,30,0,29235,12,6,3,0,1,0,0,20,3,0
23189,52,1,101119,11,7,4,0,0,0,0,40,3,0
23190,51,4,140516,10,7,1,0,0,0,0,40,3,1
23191,30,0,159888,13,6,10,0,0,0,0,60,3,1
23192,19,0,45643,12,6,13,0,1,0,0,25,3,0
23193,23,0,166371,12,6,5,0,0,0,0,60,3,0
23194,37,1,160910,14,7,1,0,0,0,0,45,3,0
23195,25,1,257064,12,7,3,1,0,0,0,38,3,0
23196,49,6,181307,15,7,1,0,0,15024,0,65,3,1
23197,30,0,83253,6,7,1,0,0,0,0,55,3,0
23198,40,0,128700,12,4,3,0,1,0,0,40,3,0
23199,20,0,243010,6,6,12,2,0,0,0,32,3,0
23200,35,6,37778,1,7,8,0,0,3103,0,55,3,0
23201,24,0,132320,13,6,13,0,0,0,0,45,3,0
23202,32,0,234755,6,3,6,1,0,0,0,40,3,0
23203,35,0,142616,6,3,11,1,1,0,0,30,3,0
23204,20,0,148509,6,6,11,0,1,0,0,40,3,0
23205,29,1,240738,6,7,6,0,0,0,0,40,3,1
23206,25,0,32276,6,6,6,0,0,0,0,28,3,0
23207,50,5,163921,8,7,4,0,0,0,0,40,3,0
23208,24,0,464103,6,6,3,0,0,0,0,50,3,0
23209,49,0,271346,13,7,13,0,0,15024,0,60,3,1
23210,30,5,327825,6,4,0,0,1,0,0,32,3,0
23211,37,0,267085,12,7,3,0,0,0,0,40,3,0
23212,50,0,266945,6,7,12,0,1,3137,0,40,3,0
23213,20,0,234663,6,6,14,0,0,0,0,30,3,0
23214,49,6,189123,6,7,6,0,0,5013,0,50,3,0
23215,55,0,104996,8,7,4,0,0,0,0,50,3,0
23216,61,0,101265,5,2,12,0,1,0,0,40,1,0
23217,22,0,184975,6,5,11,0,1,0,0,3,3,0
23218,23,0,246965,9,6,3,0,0,0,0,12,3,0
23219,43,0,227065,6,6,1,0,0,4650,0,40,3,0
23220,39,0,301867,13,4,3,3,1,0,0,24,2,0
23221,21,0,185948,12,6,10,0,0,0,0,35,3,0
23222,52,3,134854,6,7,13,0,0,0,0,40,3,1
23223,30,0,281030,1,7,10,0,0,4064,0,40,3,0
23224,42,0,126701,13,4,3,0,0,9562,0,45,3,1
23225,50,6,95949,13,7,6,0,0,0,0,50,3,0
23226,51,6,88528,9,4,13,0,1,0,0,99,3,0
23227,47,0,24723,2,4,13,4,1,0,0,45,3,0
23228,49,0,171411,3,4,13,0,0,0,0,40,3,0
23229,45,0,184581,6,7,12,0,0,0,0,40,3,0
23230,48,4,100067,12,2,11,1,1,0,0,40,3,0
23231,36,0,182863,13,7,13,0,0,0,0,50,3,1
23232,20,2,462294,12,6,13,1,0,0,0,40,3,0
23233,61,0,85434,6,7,4,0,0,0,0,40,3,0
23234,72,0,158092,13,4,10,0,0,0,0,30,3,0
23235,19,0,104844,12,6,10,0,1,0,0,15,3,0
23236,54,3,304570,13,7,12,3,0,7688,0,40,3,1
23237,47,0,89806,12,4,13,4,1,0,0,35,3,0
23238,39,0,106183,6,4,11,4,1,6849,0,40,3,0
23239,24,0,89347,11,6,12,0,1,0,0,40,3,0
23240,44,0,157236,12,5,14,0,0,0,0,40,1,0
23241,19,0,261259,6,6,14,0,0,0,0,20,3,0
23242,20,0,286166,6,6,10,0,0,0,0,48,3,0
23243,23,0,122272,6,6,6,0,1,0,0,40,3,0
23244,58,0,248739,6,7,8,0,0,0,0,53,3,1
23245,20,0,224238,5,6,6,0,0,0,0,40,3,0
23246,62,0,138157,6,7,13,0,0,0,0,12,3,0
23247,25,0,148460,6,6,3,1,1,4416,0,40,3,0
23248,67,0,236627,13,7,1,0,0,0,0,2,3,0
23249,37,5,191364,9,7,13,0,0,0,0,40,1,1
23250,36,0,353524,6,4,13,0,1,1831,0,40,3,0
23251,38,0,391040,1,3,5,0,1,0,0,20,3,0
23252,23,0,134997,6,4,11,0,1,0,0,80,3,0
23253,28,0,392487,6,7,10,0,1,0,0,40,3,0
